Type,Family,Area,Width,Base Constraint,Top Constraint,Function,Structural Usage,Fire Rating,Volume,Length
BEN714_PT_03-70,Basic Wall,41 m²,70,01_First Floor,Up to level: 07_Roof Floor,Interior,Non-bearing,,2.89 m³,1894
BEN714_PT_03-70,Basic Wall,41 m²,70,01_First Floor,Up to level: 07_Roof Floor,Interior,Non-bearing,,2.89 m³,1894
BEN714_PT_04-30,Basic Wall,21 m²,30,01_First Floor,Up to level: 07_Roof Floor,Interior,Non-bearing,,0.64 m³,1032
BEN714_PT_04-30,Basic Wall,19 m²,30,01_First Floor,Up to level: 07_Roof Floor,Interior,Non-bearing,,0.56 m³,881
BEN714_PT_04-30,Basic Wall,19 m²,30,01_First Floor,Up to level: 07_Roof Floor,Interior,Non-bearing,,0.58 m³,882
BEN714_PT_03-70,Basic Wall,35 m²,70,01_First Floor,Up to level: 07_Roof Floor,Interior,Non-bearing,,2.44 m³,2795
DAR-GL03,Curtain Wall,54 m²,,00_Ground Floor,Up to level: 02_Second Floor,Exterior,Non-bearing,,,6943
DAR-GL03,Curtain Wall,93 m²,,00_Ground Floor,Unconnected,Exterior,Non-bearing,,,3381
DAR-GL03,Curtain Wall,173 m²,,00_Ground Floor,Unconnected,Exterior,Non-bearing,,,7388
DAR-GL03,Curtain Wall,45 m²,,00_Ground Floor,Up to level: 02_Second Floor,Exterior,Non-bearing,,,6500
DAR-GL03,Curtain Wall,45 m²,,00_Ground Floor,Up to level: 02_Second Floor,Exterior,Non-bearing,,,6496
DAR-GL03,Curtain Wall,45 m²,,00_Ground Floor,Up to level: 02_Second Floor,Exterior,Non-bearing,,,6496
DAR-GL03,Curtain Wall,45 m²,,00_Ground Floor,Up to level: 02_Second Floor,Exterior,Non-bearing,,,6494
DAR-GL03,Curtain Wall,36 m²,,00_Ground Floor,Up to level: 02_Second Floor,Exterior,Non-bearing,,,5123
DAR-GL03,Curtain Wall,19 m²,,02_Second Floor,Up to level: 03_Third Floor,Exterior,Non-bearing,,,6500
DAR-GL03,Curtain Wall,19 m²,,02_Second Floor,Up to level: 03_Third Floor,Exterior,Non-bearing,,,6496
DAR-GL03,Curtain Wall,19 m²,,02_Second Floor,Up to level: 03_Third Floor,Exterior,Non-bearing,,,6496
DAR-GL03,Curtain Wall,19 m²,,02_Second Floor,Up to level: 03_Third Floor,Exterior,Non-bearing,,,6494
DAR-GL03,Curtain Wall,15 m²,,02_Second Floor,Up to level: 03_Third Floor,Exterior,Non-bearing,,,5123
DAR-GL03,Curtain Wall,9 m²,,00_Ground Floor,Up to level: 02_Second Floor,Exterior,Non-bearing,,,1342
DAR-GL03,Curtain Wall,45 m²,,00_Ground Floor,Up to level: 02_Second Floor,Exterior,Non-bearing,,,6504
DAR-GL03,Curtain Wall,45 m²,,00_Ground Floor,Up to level: 02_Second Floor,Exterior,Non-bearing,,,6453
DAR-GL03,Curtain Wall,18 m²,,00_Ground Floor,Up to level: 02_Second Floor,Exterior,Non-bearing,,,2618
DAR-GL03,Curtain Wall,4 m²,,02_Second Floor,Up to level: 03_Third Floor,Exterior,Non-bearing,,,1342
DAR-GL03,Curtain Wall,19 m²,,02_Second Floor,Up to level: 03_Third Floor,Exterior,Non-bearing,,,6504
DAR-GL03,Curtain Wall,19 m²,,02_Second Floor,Up to level: 03_Third Floor,Exterior,Non-bearing,,,6453
DAR-GL03,Curtain Wall,8 m²,,02_Second Floor,Up to level: 03_Third Floor,Exterior,Non-bearing,,,2618
DAR-GL03,Curtain Wall,112 m²,,02_Second Floor,Up to level: 06_Sixth Floor Layout,Exterior,Non-bearing,,,7342
DAR-LV02-CWA-BLACK,Curtain Wall,114 m²,,02_Second Floor,Up to level: 06_Sixth Floor Layout,Exterior,Non-bearing,,,7271
DAR-GL03,Curtain Wall,15 m²,,02_Second Floor,Up to level: 06_Sixth Floor Layout,Exterior,Non-bearing,,,1045
BEN714_PT_04-30,Basic Wall,2 m²,30,02_Second Floor,Up to level: 03_Third Floor,Interior,Non-bearing,,0.07 m³,670
BEN714_PT_04-30,Basic Wall,2 m²,30,02_Second Floor,Up to level: 03_Third Floor,Interior,Non-bearing,,0.06 m³,540
BEN714_PT_04-30,Basic Wall,2 m²,30,02_Second Floor,Up to level: 03_Third Floor,Interior,Non-bearing,,0.07 m³,670
BEN714_PT_04-30,Basic Wall,2 m²,30,02_Second Floor,Up to level: 03_Third Floor,Interior,Non-bearing,,0.06 m³,540
BEN714_PT_04-30,Basic Wall,2 m²,30,02_Second Floor,Up to level: 03_Third Floor,Interior,Non-bearing,,0.05 m³,494
BEN714_PT_04-30,Basic Wall,2 m²,30,02_Second Floor,Up to level: 03_Third Floor,Interior,Non-bearing,,0.05 m³,495
BEN714_PT_04-30,Basic Wall,2 m²,30,02_Second Floor,Up to level: 03_Third Floor,Interior,Non-bearing,,0.05 m³,494
BEN714_PT_04-30,Basic Wall,2 m²,30,02_Second Floor,Up to level: 03_Third Floor,Interior,Non-bearing,,0.05 m³,495
BEN714_PT_04-30,Basic Wall,2 m²,30,02_Second Floor,Up to level: 03_Third Floor,Interior,Non-bearing,,0.05 m³,494
BEN714_PT_04-30,Basic Wall,2 m²,30,02_Second Floor,Up to level: 03_Third Floor,Interior,Non-bearing,,0.05 m³,495
BEN714_PT_04-30,Basic Wall,2 m²,30,02_Second Floor,Up to level: 03_Third Floor,Interior,Non-bearing,,0.05 m³,494
BEN714_PT_04-30,Basic Wall,2 m²,30,02_Second Floor,Up to level: 03_Third Floor,Interior,Non-bearing,,0.05 m³,495
BEN714_PT_04-30,Basic Wall,3 m²,30,06_Sixth Floor Layout,Up to level: 07_Roof Floor,Interior,Non-bearing,,0.08 m³,750
BEN714_PT_04-30,Basic Wall,3 m²,30,06_Sixth Floor Layout,Up to level: 07_Roof Floor,Interior,Non-bearing,,0.10 m³,910
BEN714_PT_04-30,Basic Wall,3 m²,30,06_Sixth Floor Layout,Up to level: 07_Roof Floor,Interior,Non-bearing,,0.08 m³,750
DAR-GL03,Curtain Wall,15 m²,,00_Ground Floor,Up to level: 02_Second Floor,Exterior,Non-bearing,,,2108
DAR-GL03,Curtain Wall,7 m²,,00_Ground Floor,Up to level: 02_Second Floor,Exterior,Non-bearing,,,1000
DAR-GL03,Curtain Wall,30 m²,,02_Second Floor,Up to level: 06_Sixth Floor Layout,Exterior,Non-bearing,,,2108
BEN714_IN-01_215,Basic Wall,8 m²,215,-01_Basement Floor,Up to level: 00_Ground Floor,Exterior,Non-bearing,,1.64 m³,4817
BEN714_IN-01_215,Basic Wall,21 m²,215,-01_Basement Floor,Up to level: 00_Ground Floor,Exterior,Non-bearing,,4.44 m³,9036
BEN714_IN-01_215,Basic Wall,13 m²,215,-01_Basement Floor,Up to level: 00_Ground Floor,Exterior,Non-bearing,,2.79 m³,4815
BEN714_IN-01_215,Basic Wall,13 m²,215,-01_Basement Floor,Up to level: 00_Ground Floor,Exterior,Non-bearing,,2.79 m³,4815
BEN714_IN-06_150,Basic Wall,4 m²,150,-01_Basement Floor,Up to level: 00_Ground Floor,Exterior,Non-bearing,,0.66 m³,1693
BEN714_IN-06_150,Basic Wall,38 m²,150,-01_Basement Floor,Up to level: 00_Ground Floor,Exterior,Non-bearing,,5.65 m³,14305
BEN714_IN-06_150,Basic Wall,8 m²,150,-01_Basement Floor,Up to level: 00_Ground Floor,Exterior,Non-bearing,,1.22 m³,3122
BEN714_Conc_300,Basic Wall,6 m²,300,-01_Basement Floor,Up to level: 00_Ground Floor,Exterior,Non-bearing,,1.73 m³,3122
CRTN W_NO DIVISIONS,Curtain Wall,13 m²,,-01_Basement Floor,Up to level: 00_Ground Floor,Exterior,Non-bearing,,,5123
DAR-GL03,Curtain Wall,10 m²,,-01_Basement Floor,Unconnected,Exterior,Non-bearing,,,6496
DAR-GL03,Curtain Wall,11 m²,,-01_Basement Floor,Unconnected,Exterior,Non-bearing,,,6496
DAR-GL03,Curtain Wall,8 m²,,-01_Basement Floor,Unconnected,Exterior,Non-bearing,,,6500
BEN714_EX-02-170,Basic Wall,24 m²,170,-01_Basement Floor,Up to level: 00_Ground Floor,Exterior,Non-bearing,,4.04 m³,7639
BEN714_EX-02-170,Basic Wall,32 m²,170,-01_Basement Floor,Up to level: 00_Ground Floor,Exterior,Non-bearing,,5.41 m³,10505
BEN714_PT_04-30,Basic Wall,3 m²,30,00_Ground Floor,Up to level: 01_First Floor,Interior,Non-bearing,,0.10 m³,857
BEN714_PT_04-30,Basic Wall,0 m²,30,00_Ground Floor,Up to level: 01_First Floor,Interior,Non-bearing,,0.01 m³,119
BEN714_PT_04-30,Basic Wall,0 m²,30,00_Ground Floor,Up to level: 01_First Floor,Interior,Non-bearing,,0.01 m³,100
BEN714_PT_04-30,Basic Wall,2 m²,30,00_Ground Floor,Up to level: 01_First Floor,Interior,Non-bearing,,0.07 m³,581
BEN714_PT_04-30,Basic Wall,0 m²,30,00_Ground Floor,Up to level: 01_First Floor,Interior,Non-bearing,,0.01 m³,100
BEN714_PT_04-30,Basic Wall,1 m²,30,00_Ground Floor,Up to level: 01_First Floor,Interior,Non-bearing,,0.04 m³,328
BEN714_PT_04-30,Basic Wall,0 m²,30,00_Ground Floor,Up to level: 01_First Floor,Interior,Non-bearing,,0.01 m³,104
BEN714_PT_04-30,Basic Wall,0 m²,30,00_Ground Floor,Up to level: 01_First Floor,Interior,Non-bearing,,0.01 m³,95
BEN714_PT_04-30,Basic Wall,10 m²,30,00_Ground Floor,Up to level: 01_First Floor,Interior,Non-bearing,,0.31 m³,2718
BEN714_PT_04-30,Basic Wall,3 m²,30,00_Ground Floor,Up to level: 01_First Floor,Interior,Non-bearing,,0.10 m³,875
BEN714_PT_04-30,Basic Wall,0 m²,30,00_Ground Floor,Up to level: 01_First Floor,Interior,Non-bearing,,0.01 m³,80
BEN714_PT_04-30,Basic Wall,3 m²,30,00_Ground Floor,Up to level: 01_First Floor,Interior,Non-bearing,,0.08 m³,722
BEN714_PT_04-30,Basic Wall,4 m²,30,00_Ground Floor,Up to level: 01_First Floor,Interior,Non-bearing,,0.12 m³,1030
