Family,Level,System Classification,Mark,,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),06_Sixth Floor (Penthouse),Supply Air,Power,309,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),06_Sixth Floor (Penthouse),Supply Air,Power,310,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),06_Sixth Floor (Penthouse),Supply Air,Power,311,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),06_Sixth Floor (Penthouse),Supply Air,Power,312,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),06_Sixth Floor (Penthouse),Supply Air,Power,313,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),06_Sixth Floor (Penthouse),Supply Air,Power,314,,
Eminent Air AHU Duct PDN,07_Roof Floor,,295,,,
Mechanical Equipment 1,,,297,,,
Eminent Air AHU Duct PDN,07_Roof Floor,,298,,,
Scroll Chiller - Air Cooled - 70-193 kW,07_Roof Floor,Hydronic Return,Hydronic Supply,Sanitary,Power,299
Scroll Chiller - Air Cooled - 70-193 kW,07_Roof Floor,Hydronic Return,Hydronic Supply,Sanitary,Power,300
Scroll Chiller - Air Cooled - 70-193 kW,07_Roof Floor,Hydronic Return,Hydronic Supply,Sanitary,Power,301
Scroll Chiller - Air Cooled - 70-193 kW,07_Roof Floor,Hydronic Return,Hydronic Supply,Sanitary,Power,315
