Name,Number,Area,Level
Open Plan,262,44 m²,4th Floor Level
Cloaks,263,4 m²,4th Floor Level
Bed 2,264,8 m²,4th Floor Level
Bed 1,265,10 m²,4th Floor Level
Bed 3,266,16 m²,4th Floor Level
Bed 3,267,16 m²,4th Floor Level
Open Plan,268,45 m²,4th Floor Level
Bathroom,269,8 m²,4th Floor Level
Bed 1,270,21 m²,4th Floor Level
Bathroom,271,9 m²,4th Floor Level
Open Plan,272,49 m²,4th Floor Level
Bed 1,273,17 m²,4th Floor Level
Bed 2,274,13 m²,4th Floor Level
Open Plan,275,38 m²,4th Floor Level
Bathroom,276,7 m²,4th Floor Level
Bed 2,277,17 m²,4th Floor Level
Bed 1,278,17 m²,4th Floor Level
En-Suite,279,4 m²,4th Floor Level
Open Plan,280,42 m²,4th Floor Level
Bed 1,281,14 m²,4th Floor Level
Bed 2,282,17 m²,4th Floor Level
Bed 3,283,14 m²,4th Floor Level
Bathroom,284,10 m²,4th Floor Level
Stair Core/ Lift,285,13 m²,4th Floor Level
Bed 1,286,14 m²,4th Floor Level
Bed 2,287,11 m²,4th Floor Level
Open Plan,288,38 m²,4th Floor Level
Bathroom,289,4 m²,4th Floor Level
Stair Core,290,14 m²,4th Floor Level
Stair Core/ Lift,291,32 m²,4th Floor Level
Open Plan,292,35 m²,4th Floor Level
Bed 1,293,17 m²,4th Floor Level
Bed 2,294,12 m²,4th Floor Level
Bathroom,295,7 m²,4th Floor Level
Open Plan,296,58 m²,4th Floor Level
Open Plan,297,50 m²,4th Floor Level
Bathroom,298,7 m²,4th Floor Level
Bed 1,299,9 m²,4th Floor Level
Bathroom,300,8 m²,4th Floor Level
Bed 1,301,9 m²,4th Floor Level
Bed 2,302,11 m²,4th Floor Level
Bed 2,303,11 m²,4th Floor Level
Open Plan,304,53 m²,4th Floor Level
Open Plan,305,34 m²,4th Floor Level
Bthroom,306,6 m²,4th Floor Level
Bed 1,307,10 m²,4th Floor Level
Bed 1,308,Not Enclosed,4th Floor Level
Bathroom,309,7 m²,4th Floor Level
Open Plan,310,27 m²,4th Floor Level
Bed 2,311,28 m²,4th Floor Level
Bed 1,312,9 m²,4th Floor Level
Bathroom,313,5 m²,4th Floor Level
Stair Core/ Lift,314,22 m²,4th Floor Level
Bed 2,315,10 m²,4th Floor Level
Open Plan,316,38 m²,5th Floor Level
Open Plan,317,39 m²,5th Floor Level
Bed 1,318,12 m²,5th Floor Level
Bed 2,319,9 m²,5th Floor Level
Bed 3,320,7 m²,5th Floor Level
Room,321,16 m²,5th Floor Level
Bed 1,322,12 m²,5th Floor Level
Bed 1,323,13 m²,5th Floor Level
Bathroom,324,6 m²,5th Floor Level
Bathroom,325,8 m²,5th Floor Level
Open Plan,326,49 m²,5th Floor Level
Open Plan,327,35 m²,5th Floor Level
Bed 1,328,10 m²,5th Floor Level
Cloaks,329,6 m²,5th Floor Level
Bed 2,330,9 m²,5th Floor Level
Bathroom,331,7 m²,5th Floor Level
Bed 3,332,17 m²,5th Floor Level
Stair Core/ Lift,333,38 m²,5th Floor Level
Open Plan,334,40 m²,5th Floor Level
Cloaks,335,4 m²,5th Floor Level
Bed 1,336,10 m²,5th Floor Level
Bed 2,337,8 m²,5th Floor Level
Open Plan,338,44 m²,5th Floor Level
Cloaks,339,4 m²,5th Floor Level
Bed 2,340,8 m²,5th Floor Level
Bed 1,341,10 m²,5th Floor Level
Bed 3,342,16 m²,5th Floor Level
Bed 3,343,16 m²,5th Floor Level
Open Plan,344,45 m²,5th Floor Level
Bathroom,345,8 m²,5th Floor Level
Bed 1,346,21 m²,5th Floor Level
Bathroom,347,9 m²,5th Floor Level
Open Plan,348,49 m²,5th Floor Level
Bed 1,349,17 m²,5th Floor Level
Bed 2,350,13 m²,5th Floor Level
Open Plan,351,38 m²,5th Floor Level
Bathroom,352,7 m²,5th Floor Level
Bed 2,353,17 m²,5th Floor Level
Bed 1,354,17 m²,5th Floor Level
En-Suite,355,4 m²,5th Floor Level
Open Plan,356,42 m²,5th Floor Level
Bed 1,357,14 m²,5th Floor Level
Bed 2,358,17 m²,5th Floor Level
Bed 3,359,14 m²,5th Floor Level
Bathroom,360,10 m²,5th Floor Level
Stair Core/ Lift,361,13 m²,5th Floor Level
Bed 1,362,14 m²,5th Floor Level
Bed 2,363,11 m²,5th Floor Level
Open Plan,364,38 m²,5th Floor Level
Bathroom,365,4 m²,5th Floor Level
Stair Core,366,14 m²,5th Floor Level
Stair Core/ Lift,367,32 m²,5th Floor Level
Open Plan,368,35 m²,5th Floor Level
Bed 1,369,17 m²,5th Floor Level
Bed 2,370,12 m²,5th Floor Level
Bathroom,371,7 m²,5th Floor Level
Open Plan,372,58 m²,5th Floor Level
Open Plan,373,50 m²,5th Floor Level
Bathroom,374,7 m²,5th Floor Level
Bed 1,375,9 m²,5th Floor Level
Bathroom,376,8 m²,5th Floor Level
Bed 1,377,9 m²,5th Floor Level
Bed 2,378,11 m²,5th Floor Level
Bed 2,379,11 m²,5th Floor Level
Open Plan,380,53 m²,5th Floor Level
Open Plan,381,34 m²,5th Floor Level
Bthroom,382,6 m²,5th Floor Level
Bed 1,383,10 m²,5th Floor Level
Bed 1,384,Not Enclosed,5th Floor Level
Bathroom,385,7 m²,5th Floor Level
Open Plan,386,27 m²,5th Floor Level
Bed 2,387,28 m²,5th Floor Level
Bed 1,388,9 m²,5th Floor Level
Bathroom,389,5 m²,5th Floor Level
Stair Core/ Lift,390,22 m²,5th Floor Level
Bed 2,391,10 m²,5th Floor Level
Open Plan,392,38 m²,6th Floor Level
Open Plan,393,39 m²,6th Floor Level
Bed 1,394,12 m²,6th Floor Level
Bed 2,395,9 m²,6th Floor Level
Bed 3,396,7 m²,6th Floor Level
Room,397,16 m²,6th Floor Level
Bed 1,398,12 m²,6th Floor Level
Bed 1,399,13 m²,6th Floor Level
Bathroom,400,6 m²,6th Floor Level
Bathroom,401,8 m²,6th Floor Level
Open Plan,402,49 m²,6th Floor Level
Open Plan,403,35 m²,6th Floor Level
Bed 1,404,10 m²,6th Floor Level
Cloaks,405,6 m²,6th Floor Level
Bed 2,406,9 m²,6th Floor Level
Bathroom,407,7 m²,6th Floor Level
Bed 3,408,17 m²,6th Floor Level
Stair Core/ Lift,409,38 m²,6th Floor Level
Open Plan,410,40 m²,6th Floor Level
Cloaks,411,4 m²,6th Floor Level
Bed 1,412,10 m²,6th Floor Level
Bed 2,413,8 m²,6th Floor Level
Open Plan,414,44 m²,6th Floor Level
Cloaks,415,4 m²,6th Floor Level
Bed 2,416,8 m²,6th Floor Level
Bed 1,417,10 m²,6th Floor Level
Bed 3,418,16 m²,6th Floor Level
Bed 3,419,16 m²,6th Floor Level
Open Plan,420,45 m²,6th Floor Level
Bathroom,421,8 m²,6th Floor Level
Bed 1,422,21 m²,6th Floor Level
Bathroom,423,9 m²,6th Floor Level
Open Plan,424,49 m²,6th Floor Level
Bed 1,425,17 m²,6th Floor Level
Bed 2,426,13 m²,6th Floor Level
Open Plan,427,38 m²,6th Floor Level
Bathroom,428,7 m²,6th Floor Level
Bed 2,429,17 m²,6th Floor Level
Bed 1,430,17 m²,6th Floor Level
En-Suite,431,4 m²,6th Floor Level
Open Plan,432,42 m²,6th Floor Level
Bed 1,433,14 m²,6th Floor Level
Bed 2,434,17 m²,6th Floor Level
