Family,Type,Material: Name,Material: Volume,Material: Area,,
Floor,Floor-Grnd-Bearing_65Scr-90Ins-125Conc-50SBld-150Hcore,Vapor Retarder,0.00 m³,35 m²,,
Floor,Floor-Grnd-Bearing_65Scr-90Ins-125Conc-50SBld-150Hcore,Damp-proofing,0.00 m³,35 m²,,
Floor,Floor-Grnd-Bearing_65Scr-90Ins-125Conc-50SBld-150Hcore,Sand,1.76 m³,35 m²,,
Floor,Floor-Grnd-Bearing_65Scr-90Ins-125Conc-50SBld-150Hcore,Concrete, Sand/Cement Screed,2.29 m³,35 m²,
Floor,Floor-Grnd-Bearing_65Scr-90Ins-125Conc-50SBld-150Hcore,Site - Hardcore,5.29 m³,35 m²,,
Floor,Floor-Grnd-Bearing_65Scr-90Ins-125Conc-50SBld-150Hcore,Concrete,4.41 m³,35 m²,,
Floor,Floor-Grnd-Bearing_65Scr-90Ins-125Conc-50SBld-150Hcore,Rigid insulation,3.76 m³,42 m²,,
Floor,Floor-Grnd-Bearing_65Scr-90Ins-125Conc-50SBld-150Hcore,Vapor Retarder,0.00 m³,42 m²,,
Floor,Floor-Grnd-Bearing_65Scr-90Ins-125Conc-50SBld-150Hcore,Damp-proofing,0.00 m³,42 m²,,
Floor,Floor-Grnd-Bearing_65Scr-90Ins-125Conc-50SBld-150Hcore,Sand,2.09 m³,42 m²,,
Floor,Floor-Grnd-Bearing_65Scr-90Ins-125Conc-50SBld-150Hcore,Concrete, Sand/Cement Screed,2.71 m³,42 m²,
Floor,Floor-Grnd-Bearing_65Scr-90Ins-125Conc-50SBld-150Hcore,Site - Hardcore,6.26 m³,42 m²,,
Floor,Floor-Grnd-Bearing_65Scr-90Ins-125Conc-50SBld-150Hcore,Concrete,5.22 m³,42 m²,,
Floor,Floor-Grnd-Bearing_65Scr-90Ins-125Conc-50SBld-150Hcore,Rigid insulation,33.44 m³,372 m²,,
Floor,Floor-Grnd-Bearing_65Scr-90Ins-125Conc-50SBld-150Hcore,Vapor Retarder,0.00 m³,372 m²,,
Floor,Floor-Grnd-Bearing_65Scr-90Ins-125Conc-50SBld-150Hcore,Damp-proofing,0.00 m³,372 m²,,
Floor,Floor-Grnd-Bearing_65Scr-90Ins-125Conc-50SBld-150Hcore,Sand,18.58 m³,372 m²,,
Floor,Floor-Grnd-Bearing_65Scr-90Ins-125Conc-50SBld-150Hcore,Concrete, Sand/Cement Screed,24.15 m³,372 m²,
Floor,Floor-Grnd-Bearing_65Scr-90Ins-125Conc-50SBld-150Hcore,Site - Hardcore,55.73 m³,372 m²,,
Floor,Floor-Grnd-Bearing_65Scr-90Ins-125Conc-50SBld-150Hcore,Concrete,46.44 m³,372 m²,,
Floor,Floor-Grnd-Bearing_65Scr-90Ins-125Conc-50SBld-150Hcore,Rigid insulation,6.76 m³,75 m²,,
Floor,Floor-Grnd-Bearing_65Scr-90Ins-125Conc-50SBld-150Hcore,Vapor Retarder,0.00 m³,75 m²,,
Floor,Floor-Grnd-Bearing_65Scr-90Ins-125Conc-50SBld-150Hcore,Damp-proofing,0.00 m³,75 m²,,
Floor,Floor-Grnd-Bearing_65Scr-90Ins-125Conc-50SBld-150Hcore,Sand,3.75 m³,75 m²,,
Floor,Floor-Grnd-Bearing_65Scr-90Ins-125Conc-50SBld-150Hcore,Concrete, Sand/Cement Screed,4.88 m³,75 m²,
Floor,Floor-Grnd-Bearing_65Scr-90Ins-125Conc-50SBld-150Hcore,Site - Hardcore,11.26 m³,75 m²,,
Floor,Floor-Grnd-Bearing_65Scr-90Ins-125Conc-50SBld-150Hcore,Concrete,9.38 m³,75 m²,,
