Family,Type,Material: Name,Material: Area,Volume,Width,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Dark Grey,36 m²,9.92 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,61 m²,16.77 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,122 m²,16.77 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Dark Grey,61 m²,16.77 m³,274,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Concrete Masonry Units,127 m²,40.00 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Air Infiltration Barrier,127 m²,40.00 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Fiberglass Batt,127 m²,40.00 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Brick, Engineering, Grey,127 m²,40.00 m³,315
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Plaster,127 m²,40.00 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Concrete Masonry Units _Low Density,127 m²,40.00 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Paint D,127 m²,40.00 m³,315,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,67 m²,18.35 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,134 m²,18.35 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Dark Grey,67 m²,18.35 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,31 m²,8.45 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,62 m²,8.45 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Dark Grey,31 m²,8.45 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,57 m²,15.54 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,113 m²,15.54 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,27 m²,7.44 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,54 m²,7.44 m³,274,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Concrete Masonry Units,57 m²,17.82 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Air Infiltration Barrier,57 m²,17.82 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Fiberglass Batt,57 m²,17.82 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Brick, Engineering, Grey,57 m²,17.82 m³,315
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Plaster,57 m²,17.82 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Concrete Masonry Units _Low Density,57 m²,17.82 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Concrete Masonry Units,48 m²,15.11 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Air Infiltration Barrier,48 m²,15.11 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Fiberglass Batt,48 m²,15.11 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Brick, Engineering, Grey,48 m²,15.11 m³,315
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Brick, Engineering, Grey,48 m²,15.11 m³,315
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Plaster,48 m²,15.11 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Concrete Masonry Units _Low Density,48 m²,15.11 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Concrete Masonry Units,229 m²,71.88 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Air Infiltration Barrier,229 m²,71.88 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Fiberglass Batt,229 m²,71.88 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Brick, Engineering, Grey,229 m²,71.88 m³,315
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Plaster,229 m²,71.88 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Concrete Masonry Units _Low Density,229 m²,71.88 m³,315,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,24 m²,6.48 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,47 m²,6.48 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,White,24 m²,6.48 m³,274,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Concrete Masonry Units,26 m²,8.30 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Air Infiltration Barrier,26 m²,8.30 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Fiberglass Batt,26 m²,8.30 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Brick, Engineering, Grey,26 m²,8.30 m³,315
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Plaster,26 m²,8.30 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Concrete Masonry Units _Low Density,26 m²,8.30 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,White,26 m²,8.30 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Concrete Masonry Units,100 m²,31.37 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Air Infiltration Barrier,100 m²,31.37 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Fiberglass Batt,100 m²,31.37 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Brick, Engineering, Grey,100 m²,31.37 m³,315
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Brick, Engineering, Grey,100 m²,31.37 m³,315
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Plaster,100 m²,31.37 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Paint - White Lining,1 m²,31.37 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Concrete Masonry Units _Low Density,100 m²,31.37 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Concrete Masonry Units,84 m²,25.00 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Air Infiltration Barrier,81 m²,25.00 m³,315,,
