Type,Family,Width,Length,Area,Volume,Function,Structural Material,
Wall-Int_100brick,Basic Wall,125,3485,5 m²,0.57 m³,Interior,Brick, Common
Wall-Int_100brick,Basic Wall,125,2363,4 m²,0.55 m³,Interior,Brick, Common
Wall-Int_100brick,Basic Wall,125,2310,2 m²,0.26 m³,Interior,Brick, Common
Wall-Int_100brick,Basic Wall,125,3250,6 m²,0.73 m³,Interior,Brick, Common
Wall-Int_100brick,Basic Wall,125,1540,4 m²,0.46 m³,Interior,Brick, Common
Wall-Int_100brick,Basic Wall,125,4791,9 m²,1.13 m³,Interior,Brick, Common
Wall-Int_100brick,Basic Wall,125,2108,4 m²,0.55 m³,Interior,Brick, Common
Wall-Int_100brick,Basic Wall,125,1410,1 m²,0.11 m³,Interior,Brick, Common
Wall-Int_100brick,Basic Wall,125,3000,4 m²,0.55 m³,Interior,Brick, Common
Wall-Int_100brick,Basic Wall,125,3383,7 m²,0.85 m³,Interior,Brick, Common
Wall-Int_100brick,Basic Wall,125,1295,5 m²,0.56 m³,Interior,Brick, Common
Wall-Int_100brick,Basic Wall,125,1924,3 m²,0.41 m³,Interior,Brick, Common
Wall-Int_100brick,Basic Wall,125,6800,28 m²,3.51 m³,Interior,Brick, Common
Wall-Int_100brick,Basic Wall,125,1340,3 m²,0.44 m³,Interior,Brick, Common
Wall-Int_100brick,Basic Wall,125,4215,7 m²,0.85 m³,Interior,Brick, Common
Wall-Int_100brick,Basic Wall,125,1350,4 m²,0.51 m³,Interior,Brick, Common
Wall-Int_100brick,Basic Wall,125,6808,28 m²,3.45 m³,Interior,Brick, Common
Wall-Int_100brick,Basic Wall,125,1905,2 m²,0.26 m³,Interior,Brick, Common
Wall-Int_100brick,Basic Wall,125,1780,2 m²,0.29 m³,Interior,Brick, Common
Wall-Int_100brick,Basic Wall,125,2124,4 m²,0.55 m³,Interior,Brick, Common
Wall-Int_100brick,Basic Wall,125,3660,5 m²,0.66 m³,Interior,Brick, Common
Wall-Int_100brick,Basic Wall,125,5233,17 m²,2.15 m³,Interior,Brick, Common
Wall-Int_100brick,Basic Wall,125,1517,3 m²,0.37 m³,Interior,Brick, Common
Wall-Int_100brick,Basic Wall,125,2950,4 m²,0.52 m³,Interior,Brick, Common
Wall-Int_100brick,Basic Wall,125,6416,13 m²,1.59 m³,Interior,Brick, Common
Wall-Int_100brick,Basic Wall,125,1410,1 m²,0.14 m³,Interior,Brick, Common
Wall-Int_100brick,Basic Wall,125,1890,4 m²,0.44 m³,Interior,Brick, Common
Wall-Int_100brick,Basic Wall,125,1637,3 m²,0.41 m³,Interior,Brick, Common
Wall-Int_100brick,Basic Wall,125,1382,1 m²,0.07 m³,Interior,Brick, Common
Wall-Int_100brick,Basic Wall,125,3009,4 m²,0.48 m³,Interior,Brick, Common
Wall-Int_100brick,Basic Wall,125,1681,1 m²,0.15 m³,Interior,Brick, Common
Wall-Int_15p-219stone-15p,Basic Wall,249,2906,6 m²,1.44 m³,Interior,Stone External Walls,
Wall-Int_15p-219stone-15p,Basic Wall,249,9190,14 m²,3.53 m³,Interior,Stone External Walls,
Wall-Int_15p-219stone-15p,Basic Wall,249,6201,12 m²,2.95 m³,Interior,Stone External Walls,
Wall-Int_15p-219stone-15p,Basic Wall,249,2951,6 m²,1.43 m³,Interior,Stone External Walls,
Wall-Int_15p-219stone-15p,Basic Wall,249,8438,13 m²,3.21 m³,Interior,Stone External Walls,
Wall-Int_15p-219stone-15p,Basic Wall,249,3915,7 m²,1.83 m³,Interior,Stone External Walls,
